trial,seed,n,m,alpha,theta_hat_kent_scaled,theta_hat_dame_scaled,theta_hat_girgis_scaled,theta_hat_kent_orig,theta_hat_dame_orig,theta_hat_girgis_orig,scaled_mse_kent,scaled_mse_dame,scaled_mse_girgis,orig_mse_kent,orig_mse_dame,orig_mse_girgis,time_kent_s,time_dame_s,time_girgis_s,status
152,1196883025,1584,249,0.6,-0.02095821346960599,0.04933475556825695,0.22098938953120495,-0.3942166279342305,-0.1227353884494109,0.5402187224585067,0.010372473170559685,0.0009955520795150734,0.019628644248107365,0.15471705564944543,0.014849774393771104,0.29278321520052064,0.009260177612304688,0.0036423206329345703,0.08682131767272949,ok
153,200280393,1584,249,0.6,-0.033618718050244877,-0.007686946320606737,0.23592671459549372,-0.4431132604580852,-0.3429611452812811,0.597908752891799,0.013111588320400222,0.007845366286482365,0.02403727403356432,0.1955740262194884,0.11702242583583167,0.3585428666007608,0.009555339813232422,0.0010082721710205078,0.09418749809265137,ok
154,933797221,1584,249,0.6,0.013144623754334221,0.03821612619489497,0.2259025519850514,-0.26250671944370385,-0.16567708411212667,0.5591940403461617,0.004589046609759329,0.001820814223898185,0.0210294737752201,0.0684507704213923,0.02715948366159581,0.31367815668051846,0.011039257049560547,0.0013642311096191406,0.10559248924255371,ok
155,2047644745,1584,249,0.6,0.029761282851344998,0.10495493417704718,0.21921697365956147,-0.1983308670149455,0.09207749021770084,0.5333734054331707,0.0026138518370988403,0.0005792593907117201,0.019135146755038163,0.0389885279518159,0.008640302646680639,0.285422147319935,0.009667396545410156,0.001047372817993164,0.10680413246154785,ok
156,2755195275,1584,249,0.6,0.00818721512426818,0.07855104105676519,0.21723960782401874,-0.28165292222819804,-0.009898023544675283,0.525736543094081,0.00528527704054015,5.45729283632746e-06,0.018591999301068304,0.07883582715113104,8.140163542189304e-05,0.27732049465909986,0.011785507202148438,0.001623392105102539,0.09113121032714844,ok
157,2081221460,1584,249,0.6,-0.04965718723621104,-0.022030049659242743,0.24273283466485135,-0.505056062898253,-0.398356208624449,0.6241949368132165,0.017041817716878894,0.010591945044544042,0.02619403341500713,0.2541977999570748,0.15799072448255488,0.39071334858265405,0.01875901222229004,0.001245260238647461,0.10595989227294922,ok
158,4155414869,1584,249,0.6,-0.007299035653323547,0.006567218525625041,0.22634542822174342,-0.3414629802413791,-0.28790957478649126,0.5609044900728017,0.007776799106176669,0.005523448646182645,0.02115811768683109,0.11599966953879023,0.08238842342767697,0.3155970247175237,0.010449647903442383,0.0009758472442626953,0.09507369995117188,ok
159,3982558142,1584,249,0.6,-0.027420232865805028,-0.005641597853501266,0.20194490209369184,-0.419173847116566,-0.33506172454790617,0.46666625873906664,0.011730483983295636,0.007487220050764257,0.014654985154081233,0.1749733080428446,0.11168027356692889,0.21859551876801295,0.011013269424438477,0.0011477470397949219,0.11219501495361328,ok
160,4154416505,1584,249,0.6,0.049374020447558634,0.07781244418444598,0.24466035160134264,-0.12258374201525157,-0.012750587565251159,0.6316392757593308,0.0009930758212128828,9.45366823309814e-06,0.026821669425668656,0.014812838227512263,0.0001410120508446355,0.40007524270301864,0.01198887825012207,0.0011103153228759766,0.12127232551574707,ok
161,2564235122,1584,249,0.6,0.01992828527842064,0.03712409992026192,0.23238694604716578,-0.2363072735529994,-0.16989464172343816,0.5842376736054504,0.003715980261448753,0.0019152024511747418,0.022952195475989073,0.05542800790602431,0.028567389796619262,0.3423577045072218,0.044043779373168945,0.008666515350341797,0.10291838645935059,ok
162,1659454884,1584,249,0.6,0.006240842223471609,0.05348460500741582,0.2379025142607743,-0.2891700855354311,-0.10670809176755647,0.6055395664631416,0.005572067680825408,0.0007508981564477767,0.024653832152407792,0.0831136307880392,0.01120048709192545,0.3677395215562038,0.011359453201293945,0.0011577606201171875,0.09737586975097656,ok
163,1491031213,1584,249,0.6,0.02358930291291264,0.05593305710605911,0.24643925520095106,-0.22216791340373154,-0.09725182864967863,0.6385096492939244,0.003283040529889278,0.0006227055540892248,0.02740750748478833,0.048970226869707645,0.009288350837936499,0.4088136735578366,0.012989282608032227,0.0014770030975341797,0.13944554328918457,ok
164,1153705196,1584,249,0.6,0.01441383370717856,0.04985426663414162,0.22991581381301673,-0.2576048537823019,-0.12072896433583402,0.574693816644503,0.004418698587516125,0.0009630383600799954,0.022209549792907898,0.06590983886111756,0.014364795849455712,0.33128031229923693,0.009097814559936523,0.0012421607971191406,0.10910677909851074,ok
165,2117960261,1584,249,0.6,0.0574806295187902,0.08096734060402651,0.26216913564997774,-0.09127488838735331,-0.0005659380596565455,0.6992606390401335,0.0005478640772675759,6.434383580940181e-09,0.03286316702472748,0.008172006380457604,9.597603832732339e-08,0.4901909465346392,0.008073091506958008,0.0009553432464599609,0.12377214431762695,ok
166,2805954768,1584,249,0.6,0.04804557603654161,0.0710599251611931,0.24488694054684546,-0.12771437940652852,-0.03882975677903211,0.6325143938347324,0.001078567403641302,9.657387621821528e-05,0.026895939173202574,0.016088040939405253,0.0014405075371556324,0.40118305917777164,0.010730504989624023,0.0011169910430908203,0.11420392990112305,ok
167,2714791141,1584,249,0.6,0.06284440634233242,0.0310054108051785,0.2239364390869369,-0.070559235025339,-0.19352587152809209,0.5516006384191536,0.000325539732446838,0.002488185510228929,0.020463105976217054,0.004855789749742513,0.037114073926446195,0.3052301465641731,0.01812458038330078,0.0010693073272705078,0.15544414520263672,ok
168,40432429,1584,249,0.6,0.04903521828851906,0.05062575664966813,0.21273926302675886,-0.12389224315462855,-0.11774936241359235,0.5083555845090038,0.0010145440245105462,0.0009157504746245374,0.017384986039972662,0.015133060526445464,0.013659444070255922,0.25931653988227754,0.008176326751708984,0.000993967056274414,0.08854556083679199,ok
169,3035419878,1584,249,0.6,-0.013851246658141041,0.010069435074929651,0.24637221267750725,-0.3667685319814944,-0.27438352655203246,0.6382507217281681,0.008975359252871334,0.005015145347180283,0.02738531391448129,0.13387753664590402,0.07480651036746697,0.40848263159746706,0.008852243423461914,0.00130462646484375,0.1553788185119629,ok
170,1079493726,1584,249,0.6,0.008413855018686953,0.05387753495676147,0.25632048598494306,-0.2807776073809847,-0.10519054156105323,0.6766723392128657,0.005252375005934123,0.0007295180080260705,0.030776863797535185,0.0783450564510851,0.01088157823009822,0.45907139701203364,0.013393878936767578,0.0011353492736816406,0.09845948219299316,ok
171,3641658160,1584,249,0.6,-0.018685955348143338,0.04102215842058831,0.2520337974061345,-0.3854408505031781,-0.15483979672631065,0.6601165507095583,0.00991479852806935,0.0015892156396693038,0.029291183135280823,0.14789032571077473,0.023704931361940195,0.4369108058087963,0.013801336288452148,0.0012807846069335938,0.10146474838256836,ok
